,STIMULI
0,"['fixation_cross.png', 'early_stim', 'early_stim', 'early_stim', 'early_stim', 'early_stim', 'early_stim', 'early_shock']"
24,"['fixation_cross.png', 'late_stim', 'late_stim', 'late_stim', 'late_stim', 'late_stim', 'late_stim', 'late_shock']"
